,away_WP,to_WP,day_of_week,skiers,new_24,basedepth,open_trails,open_lifts,open_percent,tot_snow,week_snow_tot,2day_snow_tot,3day_snow_tot,4day_snow_tot,5day_snow_tot,6day_snow_tot
2/18/15,2603,2755,2,964,0.5,58,135,19,95,147,10.5,3.5,10.5,10.5,10.5,10.5
2/19/15,2657,3518,3,1825,0,56,135,19,95,147,10.5,0.5,3.5,10.5,10.5,10.5
2/20/15,3004,8018,4,6839,0,55,135,20,95,147,10.5,0,0.5,3.5,10.5,10.5
2/21/15,3906,4102,5,7035,7,57,135,24,95,154,17.5,7,7,7.5,10.5,10.5
2/22/15,6860,2239,6,2414,2,62,135,23,95,156,19.5,9,9,9,9.5,9.5
2/23/15,3305,2226,0,1335,2,61,135,19,95,158,14.5,4,11,11,11,11
2/24/15,2628,2596,1,1303,0,59,135,19,95,158,11.5,2,4,11,11,11
2/25/15,2179,2208,2,1332,2.2,59,135,19,95,161,13.2,2.2,4.2,6.2,13.2,13.2
2/26/15,2132,2994,3,2194,6,59,135,19,95,167,19.2,8.2,8.2,10.2,12.2,12.2
2/27/15,2958,6996,4,6232,3,67,135,19,95,170,22.2,9,11.2,11.2,13.2,13.2
2/28/15,4645,5197,5,6784,0,72,135,24,95,170,15.2,3,9,11.2,11.2,11.2
3/1/15,8199,3488,6,2073,2,70,135,23,95,172,15.2,2,5,11,13.2,13.2
3/2/15,2933,2078,0,1218,1,72,135,19,95,173,14.2,3,3,6,12,12
3/3/15,1917,1777,1,1078,1.5,72,135,18.5,94,174,15.7,2.5,4.5,4.5,7.5,7.5
3/4/15,2096,2234,2,1216,1.6,72,135,19,94,176,15.1,3.1,4.1,6.1,6.1,6.1
3/5/15,2664,3599,3,2151,0,73,135,19,94,176,9.1,1.6,3.1,4.1,6.1,6.1
3/6/15,3445,7284,4,5990,0,72,135,20,94,176,6.1,0,1.6,3.1,4.1,4.1
3/7/15,5306,6021,5,6705,0,71,135,24,94,176,6.1,0,0,1.6,3.1,3.1
3/8/15,2200,0,6,4505,0,70,135,24,94,176,4.1,0,0,0,1.6,1.6
3/9/15,3037,2510,0,3978,0,69,135,22,94,176,3.1,0,0,0,0,0
3/10/15,2608,2515,1,3885,0,69,135,22,94,176,1.6,0,0,0,0,0
3/11/15,2684,2675,2,3876,0,68,135,21,94,176,0,0,0,0,0,0
3/12/15,2726,3010,3,4160,0,67,135,21,94,176,0,0,0,0,0,0
3/13/15,3115,5745,4,6790,2,67,135,22,94,178,2,2,2,2,2,2
3/14/15,4671,5461,5,7580,0,67.5,135,23.5,94,178,2,2,2,2,2,2
3/15/15,6361,3996,6,5215,0,68,135,25,94,178,2,0,2,2,2,2
3/16/15,3022,2668,0,4861,0,66,135,22,94,178,2,0,0,2,2,2
3/17/15,2503,2293,1,4651,0,65,135,21,94,178,2,0,0,0,2,2
3/18/15,2878,2653,2,4426,0,64,135,21,94,178,2,0,0,0,0,0
3/19/15,2640,2836,3,4622,1.6,64,135,21,94,179,3.6,1.6,1.6,1.6,1.6,1.6
3/20/15,3605,5306,4,6323,1,64,135,22,94,180,2.6,2.6,2.6,2.6,2.6,2.6
3/21/15,4306,4749,5,6766,0,64,129,24,90,180,2.6,1,2.6,2.6,2.6,2.6
3/22/15,5422,3384,6,4728,0,63,129,23,90,180,2.6,0,1,2.6,2.6,2.6
3/23/15,3104,2717,0,4341,0,63,128,20,90,180,2.6,0,0,1,2.6,2.6
3/24/15,2881,2745,1,4205,7,70,128,19,90,187,9.6,7,7,7,8,8
3/25/15,3204,3292,2,4293,5,70,127,19,89,192,14.6,12,12,12,12,12
3/26/15,3626,4042,3,4709,4,74,127,20,89,196,17,9,16,16,16,16
3/27/15,4033,5394,4,6070,0,74,127,20,89,196,16,4,9,16,16,16
3/28/15,4283,4157,5,5944,0,73,127,23,89,196,16,0,4,9,16,16
3/29/15,5425,2720,6,3239,0,69,127,23,89,196,16,0,0,4,9,9
3/30/15,2753,2150,0,2636,0,67,127,19,89,196,16,0,0,0,4,4
3/31/15,2215,2129,1,2550,0,67,127,19,89,196,9,0,0,0,0,0
4/1/15,2288,2253,2,2515,1.4,67,127,19,89,198,5.4,1.4,1.4,1.4,1.4,1.4
4/2/15,1994,2362,3,2883,1,65,124,19,87,199,2.4,2.4,2.4,2.4,2.4,2.4
4/3/15,3072,4015,4,3826,4,66,124,19,87,203,6.4,5,6.4,6.4,6.4,6.4
4/4/15,3659,3365,5,3532,1,69,128,24,90,204,7.4,5,6,7.4,7.4,7.4
4/5/15,3776,2019,6,1775,0,69,128,23,90,204,7.4,1,5,6,7.4,7.4
4/6/15,2218,1916,0,1473,0,66,127,19,89,204,7.4,0,1,5,6,6
4/7/15,1858,1824,1,1439,0,66,128,19,90,204,7.4,0,0,1,5,5
4/8/15,1968,1903,2,1374,1.4,66,128,19,90,205,7.4,1.4,1.4,1.4,2.4,2.4
4/9/15,1858,2000,3,1516,1,64,128,19,90,206,7.4,2.4,2.4,2.4,2.4,2.4
4/10/15,2252,3206,4,2470,0,64,126,19,88,206,3.4,1,2.4,2.4,2.4,2.4
4/11/15,2635,2835,5,2670,0,63,126,19,88,206,2.4,0,1,2.4,2.4,2.4
4/12/15,3492,1943,6,1121,0,62,126,19,88,206,2.4,0,0,1,2.4,2.4
4/13/15,1987,1612,0,746,1,63,122,19,85,207,3.4,1,1,1,2,2
4/14/15,1870,1766,1,642,0,63,122,19,85,207,3.4,1,1,1,1,1
4/15/15,1715,1614,2,541,0,62,121,18,85,207,2,0,1,1,1,1
4/16/15,1492,1640,3,689,0,62,121,17,85,207,1,0,0,1,1,1
4/17/15,1980,3237,4,1946,11,66,121,17,85,218,12,11,11,11,12,12
4/18/15,3000,3251,5,2197,5,80,121,17,85,223,17,16,16,16,16,16
4/19/15,3896,2337,6,638,3,77,123,16,86,226,20,8,19,19,19,19
4/20/15,2205,1909,0,342,4,80,100,10,70,230,23,7,12,23,23,23
4/21/15,2077,2035,1,300,0,79,100,10,70,230,23,4,7,12,23,23
4/22/15,1958,1950,2,292,1.4,79,100,10,70,231,24.4,1.4,5.4,8.4,13.4,13.4
4/23/15,1747,1977,3,522,0,76,99,9,69,231,24.4,1.4,1.4,5.4,8.4,8.4
4/24/15,2223,3877,4,2176,0,75,97,9,68,231,13.4,0,1.4,1.4,5.4,5.4
4/25/15,2606,3399,5,2969,0,72,97,10,68,231,8.4,0,0,1.4,1.4,1.4
4/26/15,4610,2103,6,462,5,74,97,10,68,236,10.4,5,5,5,6.4,6.4date,away_WP,to_WP,day_of_week,skiers,new_24,basedepth,open_trails,open_lifts,open_percent,tot_snow,week_snow_tot,2day_snow_tot,3day_snow_tot,4day_snow_tot,5day_snow_tot,6day_snow_tot
11/15/15,,,,,1.3,18,2.5,2.25,2.25,1.3,9.1,1.3,3.9,5.2,6.5,7.8
11/16/15,,,,,1.3,18,3,2.5,2.5,2.6,9.1,2.6,3.9,5.2,6.5,7.8
